Name,Author,Created,Vendor,CVE,ExpectedLocations,VulnerableExecutablePath,VulnerableExecutableType,VulnerableExecutableAutoElevated,VulnerableExecutablePrivilegeEscalation,VulnerableExecutableCondition,VulnerableExecutableSHA256,VulnerableExecutableEnvironmentVariable,Resources,Acknowledgements,URL
"cnmpaui.dll","Swachchhanda Shrawan Poudel","2025-09-08","Canon","","%PROGRAMFILES%\Canon\Canon IJ Printer Assistant Tool\","cnmpaui.exe","Sideloading","","","","4ed76fa68ef9e1a7705a849d47b3d9dcdf969e332bd5bcb68138579c288a16d3","","https://cloud.google.com/blog/topics/threat-intelligence/prc-nexus-espionage-targets-diplomats/, https://www.virustotal.com/gui/file/e787f64af048b9cb8a153a0759555785c8fd3ee1e8efbca312a29f2acb1e4011","Swachchhanda Shrawan Poudel (@_swachchhanda_)","https://hijacklibs.net/entries/3rd_party/canon/cnmpaui.html"
"relay.dll","Jai Minton - HuntressLabs","2024-05-27","Canon","","","UniversalInstaller.exe","Sideloading","","","","a05b592a971fe5011554013bcfe9a4aaf9cfc633bdd1fe3a8197f213d557b8d3","","https://www.virustotal.com/gui/file/6122b4ceb394e4a441b4f7ac92745b1aa64b6c83a4101d6d326e130efa5a5d10/details","Jai Minton (@cyberrraiju)","https://hijacklibs.net/entries/3rd_party/canon/relay.html"
"avupdate.dll","Josh Allman","2025-02-18","Carbon Black","","%PROGRAMFILES%\Confer\scanner\upd.exe","%PROGRAMFILES%\Confer\scanner\upd.exe","Sideloading","","","","3dfae7b23f6d1fe6e37a19de0e3b1f39249d146a1d21102dcc37861d337a0633","","https://blackpointcyber.com/resources/blog/qilin-ransomware-and-the-hidden-dangers-of-byovd/","Josh Allman (@xorjosh)","https://hijacklibs.net/entries/3rd_party/carbonblack/avupdate.html"
"mfc140u.dll","Jai Minton - HuntressLabs","2025-02-19","CheckMAL","","%PROGRAMFILES%\CheckMAL\AppCheck","%PROGRAMFILES%\CheckMAL\AppCheck\AppCheck.exe","Sideloading","","","","ea987229c8d4e647e0b5a0d6dd08cce9d15e78f74cb5fb5c86a7e9ea6a5ecc82","","https://www.virustotal.com/gui/file/c4c85e98452094c8bd395b19c2afe283a50cdbb651e51e09d3f7b0dfa35fda65/details","Jai Minton (@cyberrraiju), Josh Allman (@xorjosh)","https://hijacklibs.net/entries/3rd_party/checkmal/mfc140u.html"
"ciscosparklauncher.dll","Sorina Ionescu","2022-10-10","Cisco","","%LOCALAPPDATA%\CiscoSparkLauncher, %LOCALAPPDATA%\Programs\Cisco Spark, %PROGRAMFILES%\Cisco Spark","CiscoCollabHost.exe","Sideloading","","","","15bb2d1e81a75a92d0012dcbf47686fa2ab10f2174cda36d7c4b03bfb72313b7, 7b301cea1feff0add8de512a93ed7bc1b8330caf0c3a6f1585f9887b88db8efb","","https://news.sophos.com/en-us/2022/11/03/family-tree-dll-sideloading-cases-may-be-related/, https://www.joesandbox.com/analysis/279535/0/html","","https://hijacklibs.net/entries/3rd_party/cisco/ciscosparklauncher.html"
"wcldll.dll","Jai Minton - HuntressLabs","2024-04-10","Cisco","","%PROGRAMFILES%\Cisco Systems\Cisco Jabber, %PROGRAMFILES%\Webex\Applications, %PROGRAMFILES%\Webex\Plugins","%PROGRAMFILES%\Webex\Applications\ptInst.exe","Sideloading","","","","bf1a0c67b433f52ebd304553f022baa34bfbca258c932d2b4b8b956b1467bfa5","","https://www.virustotal.com/gui/file/26227914bdad9baf491a9b966e6301fc997cff35c677dcfd9628654f4f6bc9fc/relations, https://www.virustotal.com/gui/file/fa1443219f210bdcf3a25b311342851f61378536eb11810366468156fbd5c051","Jai Minton (@cyberrraiju)","https://hijacklibs.net/entries/3rd_party/cisco/wcldll.html"
"classicexplorer32.dll","Pokhlebin Maxim","2023-06-08","Classic Shell","","%PROGRAMFILES%\Classic Shell, %PROGRAMFILES%\Open-Shell","ClassicExplorerSettings.exe","Sideloading","","","","b44cc792ae7f58e9a12a121c14a067ee1dd380df093339b4bf2b02df5937b2af","","https://blogs.blackberry.com/en/2022/12/mustang-panda-uses-the-russian-ukrainian-war-to-attack-europe-and-asia-pacific-targets","","https://hijacklibs.net/entries/3rd_party/classicshell/classicexplorer32.html"
"libcurl.dll","Still Hsu","2024-05-26","curl","","%PROGRAMFILES%\Notepad++\updater, %PROGRAMFILES%\WindowsApps\MSTeams_%VERSION%, %PROGRAMFILES%\Coolmuster\Coolmuster PDF Creator Pro\%VERSION%\Bin","%PROGRAMFILES%\Notepad++\updater\GUP.exe","Sideloading","","","","e5bbbf34414426f63e6cd1354c306405e54bf31279829c7542dccfb7d85af0ec","","https://www.virustotal.com/gui/file/d1e44e4224899cb160a92f4c7f4f042b10ae0ee3fc16bbe457ad32e8b1527ed5, https://www.virustotal.com/gui/file/dd0c2d79fef0cf5e2d32dcdd661d6ba0a6e9901ffe047fad2d081bbc28daad2c","Still Hsu (@AzakaSekai_), Jai Minton (@CyberRaiju)","https://hijacklibs.net/entries/3rd_party/curl/libcurl.html"
"libcurl.dll","Still Hsu","2024-05-26","curl","","%PROGRAMFILES%\Notepad++\updater, %PROGRAMFILES%\WindowsApps\MSTeams_%VERSION%, %PROGRAMFILES%\Coolmuster\Coolmuster PDF Creator Pro\%VERSION%\Bin","%PROGRAMFILES%\Coolmuster\Coolmuster PDF Creator Pro\%VERSION%\Bin\Coolmuster PDF Creator Pro.exe","Sideloading","","","","777989570e14510d504debc657a24ccd995abb88fe30c5fa71911789b9a47f50","","https://www.virustotal.com/gui/file/d1e44e4224899cb160a92f4c7f4f042b10ae0ee3fc16bbe457ad32e8b1527ed5, https://www.virustotal.com/gui/file/dd0c2d79fef0cf5e2d32dcdd661d6ba0a6e9901ffe047fad2d081bbc28daad2c","Still Hsu (@AzakaSekai_), Jai Minton (@CyberRaiju)","https://hijacklibs.net/entries/3rd_party/curl/libcurl.html"
"vftrace.dll","Sorina Ionescu","2022-10-17","CyberArk","","%PROGRAMFILES%\CyberArk\Endpoint Privilege Manager\Agent\x32, %PROGRAMFILES%\CyberArk\Endpoint Privilege Manager\Agent\x64, %PROGRAMFILES%\CyberArk\Endpoint Privilege Manager\Agent","vf_host.exe","Sideloading","","","","df847abbfac55fb23715cde02ab52cbe59f14076f9e4bd15edbe28dcecb2a348","","https://symantec-enterprise-blogs.security.com/blogs/threat-intelligence/budworm-espionage-us-state?web_view=true, https://www.cisa.gov/uscert/ncas/analysis-reports/ar22-277b","Threat Hunting Team Symantec, CISA","https://hijacklibs.net/entries/3rd_party/cyberark/vftrace.html"
